ada,,'~\b,\b~',"'~\bada\b~',"
percuma,,,,"'~\bpercuma\b~',"
perlu,,,,"'~\bperlu\b~',"
perlukah,,,,"'~\bperlukah\b~',"
perlunya,,,,"'~\bperlunya\b~',"
pernah,,,,"'~\bpernah\b~',"
persoalan,,,,"'~\bpersoalan\b~',"
pertama,,,,"'~\bpertama\b~',"
pertama-tama,,,,"'~\bpertama-tama\b~',"
pertanyaan,,,,"'~\bpertanyaan\b~',"
pertanyakan,,,,"'~\bpertanyakan\b~',"
pihak,,,,"'~\bpihak\b~',"
pihaknya,,,,"'~\bpihaknya\b~',"
pukul,,,,"'~\bpukul\b~',"
pula,,,,"'~\bpula\b~',"
pun,,,,"'~\bpun\b~',"
punya,,,,"'~\bpunya\b~',"
rasa,,,,"'~\brasa\b~',"
rasanya,,,,"'~\brasanya\b~',"
rata,,,,"'~\brata\b~',"
rupanya,,,,"'~\brupanya\b~',"
saat,,,,"'~\bsaat\b~',"
saatnya,,,,"'~\bsaatnya\b~',"
saja,,,,"'~\bsaja\b~',"
sajalah,,,,"'~\bsajalah\b~',"
saling,,,,"'~\bsaling\b~',"
sama,,,,"'~\bsama\b~',"
sama-sama,,,,"'~\bsama-sama\b~',"
sambil,,,,"'~\bsambil\b~',"
sampai,,,,"'~\bsampai\b~',"
sampai-sampai,,,,"'~\bsampai-sampai\b~',"
sampaikan,,,,"'~\bsampaikan\b~',"
sana,,,,"'~\bsana\b~',"
sangat,,,,"'~\bsangat\b~',"
sangatlah,,,,"'~\bsangatlah\b~',"
satu,,,,"'~\bsatu\b~',"
saya,,,,"'~\bsaya\b~',"
sayalah,,,,"'~\bsayalah\b~',"
se,,,,"'~\bse\b~',"
sebab,,,,"'~\bsebab\b~',"
sebabnya,,,,"'~\bsebabnya\b~',"
sebagai,,,,"'~\bsebagai\b~',"
sebagaimana,,,,"'~\bsebagaimana\b~',"
sebagainya,,,,"'~\bsebagainya\b~',"
sebagian,,,,"'~\bsebagian\b~',"
sebaik,,,,"'~\bsebaik\b~',"
sebaik-baiknya,,,,"'~\bsebaik-baiknya\b~',"
sebaiknya,,,,"'~\bsebaiknya\b~',"
sebaliknya,,,,"'~\bsebaliknya\b~',"
sebanyak,,,,"'~\bsebanyak\b~',"
sebegini,,,,"'~\bsebegini\b~',"
sebegitu,,,,"'~\bsebegitu\b~',"
sebelum,,,,"'~\bsebelum\b~',"
sebelumnya,,,,"'~\bsebelumnya\b~',"
sebenarnya,,,,"'~\bsebenarnya\b~',"
seberapa,,,,"'~\bseberapa\b~',"
sebesar,,,,"'~\bsebesar\b~',"
sebetulnya,,,,"'~\bsebetulnya\b~',"
sebisanya,,,,"'~\bsebisanya\b~',"
sebuah,,,,"'~\bsebuah\b~',"
sebut,,,,"'~\bsebut\b~',"
sebutlah,,,,"'~\bsebutlah\b~',"
sebutnya,,,,"'~\bsebutnya\b~',"
secara,,,,"'~\bsecara\b~',"
secukupnya,,,,"'~\bsecukupnya\b~',"
sedang,,,,"'~\bsedang\b~',"
sedangkan,,,,"'~\bsedangkan\b~',"
sedemikian,,,,"'~\bsedemikian\b~',"
sedikit,,,,"'~\bsedikit\b~',"
sedikitnya,,,,"'~\bsedikitnya\b~',"
seenaknya,,,,"'~\bseenaknya\b~',"
segala,,,,"'~\bsegala\b~',"
segalanya,,,,"'~\bsegalanya\b~',"
segera,,,,"'~\bsegera\b~',"
seharusnya,,,,"'~\bseharusnya\b~',"
sehingga,,,,"'~\bsehingga\b~',"
seingat,,,,"'~\bseingat\b~',"
sejak,,,,"'~\bsejak\b~',"
sejauh,,,,"'~\bsejauh\b~',"
sejenak,,,,"'~\bsejenak\b~',"
sejumlah,,,,"'~\bsejumlah\b~',"
sekadar,,,,"'~\bsekadar\b~',"
sekadarnya,,,,"'~\bsekadarnya\b~',"
sekali,,,,"'~\bsekali\b~',"
sekali-kali,,,,"'~\bsekali-kali\b~',"
sekalian,,,,"'~\bsekalian\b~',"
sekaligus,,,,"'~\bsekaligus\b~',"
sekalipun,,,,"'~\bsekalipun\b~',"
sekarang,,,,"'~\bsekarang\b~',"
sekarang,,,,"'~\bsekarang\b~',"
sekecil,,,,"'~\bsekecil\b~',"
seketika,,,,"'~\bseketika\b~',"
sekiranya,,,,"'~\bsekiranya\b~',"
sekitar,,,,"'~\bsekitar\b~',"
sekitarnya,,,,"'~\bsekitarnya\b~',"
sekurang-kurangnya,,,,"'~\bsekurang-kurangnya\b~',"
sekurangnya,,,,"'~\bsekurangnya\b~',"
sela,,,,"'~\bsela\b~',"
selain,,,,"'~\bselain\b~',"
selaku,,,,"'~\bselaku\b~',"
selalu,,,,"'~\bselalu\b~',"
selama,,,,"'~\bselama\b~',"
selama-lamanya,,,,"'~\bselama-lamanya\b~',"
selamanya,,,,"'~\bselamanya\b~',"
selanjutnya,,,,"'~\bselanjutnya\b~',"
